Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ireland,2091287,2116049,2146414,2178016,2211944,2250951,2296510,2345367,2394915,2450379,2515791,2595694,2680715,2744952,2782090,2806411,2827835,2849043,2873286,2903635,2940510,2983355,3026107,3074684,3128618,3173531,3213642
"Iran, Islamic Rep.",37010599,38054097,39051701,40038693,41030618,42026536,43031115,44050014,45078316,46107031,47130045,48145860,49125151,50093532,51080199,52095517,53140091,54203642,55292635,56418320,57580314,58781877,60016532,61266717,62509613,63728813,64915207
Iraq,13858717,14255733,14665744,15123548,15606187,16094909,16594706,17104296,17607003,18080764,18513374,18889524,19223310,19565438,19985684,20552598,21282804,22141873,23075657,24005087,24872486,25661856,26391349,27085314,27783373,28514939,29286343
Iceland,245081,246857,249329,252455,255931,259836,263687,266425,268644,271378,276072,283000,290623,296449,297832,297604,298556,300190,303150,306653,309974,314424,322016,330898,338406,344101,349749
Israel,5038520,5176476,5311285,5438029,5582264,5735757,5876682,6000381,6113918,6227239,6342289,6459778,6579915,6702316,6869011,7000447,7136149,7274496,7417238,7566988,7724692,7884198,8045513,8209306,8375041,8531985,8677993
Italy,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40894259,41548775,42109853,42247229,42351339,42462869,42559879,42249963,42232349,42141389
Jamaica,1282435,1301192,1320251,1339265,1357777,1375505,1392265,1407037,1420748,1434040,1447021,1459784,1472255,1484711,1497367,1510428,1524025,1538501,1553709,1569365,1585235,1601281,1617507,1633950,1650593,1667459,1684526
Jordan,3588796,3702034,3793107,3868413,3937750,4009377,4084281,4163401,4255285,4370501,4582818,4851356,5152545,5487243,5854306,6251315,6679867,7134134,7592552,8026940,8363638,8647202,8880356,9066350,9213051,9327507,9409094
Japan,97888236,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761,114107975,115228215,116302928,116416235,116331281,116262976,116208079,116182717,116219897,116223820,116179166,116119928,115884871,115459909
Kazakhstan,8844601,8714928,8581746,8438008,8363622,8349417,8346075,8357267,8396312,8465822,8552467,8654579,8765446,8942684,9133481,9275230,9421048,9566957,9718100,9874723,10032906,10189588,10342139,10495801,10652767,10816580,10987485
Kenya,5071324,5311635,5558971,5814749,6079808,6358390,6648222,6949822,7264511,7593875,7938446,8299731,8677870,9072572,9482264,9907053,10349400,10809164,11286225,11778223,12284624,12804902,13339741,13891412,14461521,15053275,15667076
Kyrgyz Republic,1657660,1669279,1680607,1693186,1708661,1729037,1745422,1761468,1779932,1801551,1821882,1841521,1859060,1876703,1899444,1923436,1949521,1986238,2031430,2079480,2131200,2185215,2239720,2298401,2362388,2425088,2486628
Cambodia,1844685,1942110,2040526,2129274,2195430,2259173,2320184,2378419,2434573,2489817,2545033,2600254,2655689,2717205,2808855,2904519,3004694,3109364,3217889,3329690,3443896,3560344,3678963,3800502,3924621,4051341,4180349
Kiribati,28296,29499,31074,32736,34465,36259,37319,37972,38656,39396,40206,41538,43310,45139,46979,48779,50519,52203,53865,55539,57259,59021,60800,62621,64490,66405,68384
St. Kitts and Nevis,14186,14239,14288,14330,14380,14450,14539,14659,14782,14902,15006,15093,15164,15226,15291,15351,15417,15494,15584,15682,15785,15897,16013,16138,16272,16406,16549
