Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Mongolia,5.550370216,,7.210780144,,4.325729847,,,4.690130234,,5.144849777,4.645100117,4.60902977,5.19520998,4.940770149,4.714849949,4.223619938,5.183100224,4.068970203,6.173019886,4.940889835,,
Mozambique,,,,,3.326699972,4.00578022,3.871469975,,,,5.952929974,6.260409832,5.672160149,6.115330219,6.876329899,6.010829926,5.865039825,5.505559921,5.452189922,6.084420204,6.260588646,
Mauritania,,2.106839895,2.277149916,2.365010023,1.950799942,,1.958510041,,,,,2.331020117,2.158210039,2.293540001,,,1.944059968,,,1.824370027,1.881160021,
Mauritius,3.769109964,3.114860058,3.060899973,4.415830135,4.31306982,4.078199863,3.697510004,3.185400009,3.063070059,3.047310114,3.551470041,3.332070112,3.418200016,3.61578989,4.916950226,4.886670113,5.013599873,5.02312994,4.834589958,4.719299793,4.608170033,
Malawi,5.247970104,4.508979797,,3.215660095,,,,,,,3.539799929,4.152619839,,5.41617012,4.839839935,5.608660221,4.748569965,4.031330109,3.3229599,3.711319923,2.907619953,
Malaysia,5.971610069,7.484469891,7.657929897,7.502880096,5.923890114,,4.485760212,4.372539997,3.958519936,5.974180222,4.966450214,5.76293993,5.739029884,5.481200218,5.212639809,4.894869804,4.751920223,4.675310135,4.478650093,4.156610012,3.916970015,
Namibia,6.901780128,6.888869762,6.742330074,6.137139797,,,6.031710148,,6.403429985,,8.243300438,,,8.609332085,9.577854156,9.850768089,10.63879585,9.708672523,8.881122589,8.927026749,9.446896553,9.640491486
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
Niger,2.565020084,2.279819965,2.401340008,1.937059999,,,2.558520079,3.014620066,2.723119974,3.335880041,2.721950054,3.077620029,3.18682003,3.689529896,5.103680134,4.486690044,2.958430052,2.578180075,3.457279921,3.527528763,3.837612629,
Nigeria,,,,,,,,,,,,,,,,,,,,,,
